date,photocell,sensor_1,sensor_2
6/25/2022 09:08:42,967,76.21,98.71
6/25/2022 09:09:43,967,76.21,97.70
6/25/2022 09:10:43,966,76.32,98.37
6/25/2022 09:11:44,965,76.55,98.71
